"","mention","without_add_symbol"
"183","@oreillyfactor","oreillyfactor"
"184","@outfrontcnn","outfrontcnn"
"185","@pastormarkburns","pastormarkburns"
"186","@patrickbuchanan","patrickbuchanan"
"187","@paulteutulsr","paulteutulsr"
"188","@penn","penn"
"189","@pennjillette","pennjillette"
"190","@peterose_","peterose_"
"191","@phillypolice","phillypolice"
"192","@piersmorgan","piersmorgan"
"193","@pnehlen","pnehlen"
"194","@politico","politico"
"195","@potus","potus"
"196","@quinnipiacpoll","quinnipiacpoll"
"197","@randpaul","randpaul"
"198","@realbencarson","realbencarson"
"199","@realdonaldtrump","realdonaldtrump"
"200","@realsheriffjoe","realsheriffjoe"
"201","@redstate","redstate"
"202","@reince","reince"
"203","@repchriscollins","repchriscollins"
"204","@reploubarletta","reploubarletta"
"205","@repreneeellmers","repreneeellmers"
"206","@reptommarino","reptommarino"
"207","@reuters","reuters"
"208","@richlowry","richlowry"
"209","@ricksantorum","ricksantorum"
"210","@ringlingbros","ringlingbros"
"211","@rondarousey","rondarousey"
"212","@ruthmarcus","ruthmarcus"
"213","@samaritanspurse","samaritanspurse"
"214","@sandiegopd","sandiegopd"
"215","@sarahpalinusa","sarahpalinusa"
"216","@scottienhughes","scottienhughes"
"217","@scottwalker","scottwalker"
"218","@seanhannity","seanhannity"
"219","@secupp","secupp"
"220","@senatemajldr","senatemajldr"
"221","@sentedcruz","sentedcruz"
"222","@serenawilliams","serenawilliams"
"223","@shellhouopen","shellhouopen"
"224","@shepnewsteam","shepnewsteam"
"225","@sinow","sinow"
"226","@slate","slate"
"227","@speakerryan","speakerryan"
"228","@stjude","stjude"
"229","@stuartpstevens","stuartpstevens"
"230","@surveyusa","surveyusa"
"231","@talkersmagazine","talkersmagazine"
"232","@teamcavuto","teamcavuto"
"233","@teamsters","teamsters"
"234","@teamtrump","teamtrump"
"235","@tedcruz","tedcruz"
"236","@tgowdysc","tgowdysc"
"237","@thebrodyfile","thebrodyfile"
"238","@thefive","thefive"
"239","@thefix","thefix"
"240","@thejuanwilliams","thejuanwilliams"
"241","@therickwilson","therickwilson"
"242","@thetodaysgolfer","thetodaysgolfer"
"243","@theview","theview"
"244","@thisweekabc","thisweekabc"
"245","@time","time"
"246","@timkaine","timkaine"
"247","@tngcbedminster","tngcbedminster"
"248","@todayshow","todayshow"
"249","@tombarrackjr","tombarrackjr"
"250","@tomllamasabc","tomllamasabc"
"251","@tonyschwartz","tonyschwartz"
"252","@traceadkins","traceadkins"
"253","@trump","trump"
"254","@trumpdc","trumpdc"
"255","@trumpdoonbeg","trumpdoonbeg"
"256","@trumpdoral","trumpdoral"
"257","@trumpgolf","trumpgolf"
"258","@trumpscotland","trumpscotland"
"259","@trumptowerny","trumptowerny"
"260","@trumpturnberry","trumpturnberry"
"261","@trumpwomenstour","trumpwomenstour"
"262","@twitternyc","twitternyc"
"263","@umassamherst","umassamherst"
"264","@unionleader","unionleader"
"265","@urbandaleschool","urbandaleschool"
"266","@usatoday","usatoday"
"267","@uscg","uscg"
"268","@vanityfair","vanityfair"
"269","@washingtonpost","washingtonpost"
"270","@washtimes","washtimes"
"271","@whoopigoldberg","whoopigoldberg"
"272","@williebosshog","williebosshog"
"273","@wsj","wsj"
"274","@youngdemstrump","youngdemstrump"
